Title,Final
Elon Musk Forced To Use Bodyguards In The Bathroom As Twitter Mocks Him,0
Youtube's WAR On Adblock BACKFIRES Spectacularly! Louis Rossmann Wins Again,1
THE MOST PSYCHOTIC ZIONIST TIKTOKS,1
"Trump Just ENDED Asylum For Central Americans, Major Escalation In Illegal Immigration Debate",1
The Scandal Of The Jeremy Renner App,0
Russian Meddling IS NOT An Attempt to Help Donald Trump,1
Can you trust poll results when the questions are worded like this?,0
TORBJORN TECHNO (Remix with Overwatch Sounds),0
JORDAN PETERSON VS CHANNEL 4 AND CATHY NEWMAN,0
Ben Shapiro SHUT DOWN MY WIFI - I RIDE AGAIN (008 Weekly Livestream),1
"POP SONG REVIEW: ""The Middle"" by Zedd & Maren Morris/""Meant to Be"" by Bebe Rexha",0
California is making it easier for sex offenders to avoid registration and more news headlines,1
"Songs That Stop on the Word ""Stop!"" Supercut",0
SJW Rage That YOU Caused! Please Apologize!,1
10 Rules for Life: London: How To Academy,1
Q&A 05-00-0001 | Jordan B. Peterson,0
This Is Why The Grinch Is Actually The Good Guy,0
Beating Dark Souls by Completely Stupid Means,1
"Why Serena Williams' Tantrum Has Nothing To Do With ""Women's Rights"" | The Matt Walsh Show Ep. 101",1
Matt Walsh REACTS To Johnny Depp's Defamation Trial,0
The Ellen Show EXPOSED for Toxic and Racist Work Environment - Despite her Support for BLM,1
Pathfinder Kingmaker Critique,0
That Time Aang Talked to Big Turtle and Saved the Day: A Video Essay | Big Joel,0
"Trump Declares The US Will Designate Antifa As A Terrorist Organization, Civil War 0 Is Coming",1
I created the ultimate Chess Ai (it can cheat),1
Twitter Just DESTROYED Threads! It's Over & Elon Musk Won! Twitter Monetization Will Change It All!,1
New Year Resolution Help,0
Groomers Push â€˜Queer Inclusivityâ€™ On PreschoolersÂ | Ep. 890,1
The Path: Psychological Horror In The Woods,0
"Democrat BREAKS DOWN Crying After Losing House Seat, Dems Erupt Into Chaos Over Massive House Defeat",1
Beautiful Girl DESTROYS Her Face For TikTok,1
0017 Personality 08: Carl Jung and the Lion King (Part 0),0
Tommy Robinson is OUT of Prison - Pretends Muslims tried to force him to join Islam,1
Why Is This Teacher Filming This??,1
The Destructiveness of DEI | THE SEARCH With Elon Musk,1
"Liberals Try to Ruin JOKER Movie | Heck Off, Commie!",1
"Drew Brees Promotes The Bible, Gets Attacked As Anti-Gay | Ep. 306",1
White People Again..,1
The Anti-SJW MELTDOWN over â€˜Race Swappingâ€™ - God of War's Angrboda and Denzel Washingtonâ€™s Macbeth,1
"Woke MELTDOWN As Patrick Bet-David, Dana White & More Support Sound of Freedom! Media RAGES Over It!",1
"The Young Turks SLAM Buttigieg: ""Villifying The POOR!""",1
Netflix's PURPLE HEARTS is Dumb | Worst 'Enemies to Lovers' Explained,1
Billie Eilish - Art Style Challenge,0
Based Chad DESTROYS Woke Teacher! She Gets So ANGRY!,1
Grandparents Came to Japan!,0
Pope Francis Is No Reformer | The Matt Walsh Show Ep. 140,0
Tim Pool Explains How The Key Players Act In The Culture War #shorts,0
Why Is the Left Hell-Bent on Perpetuating Hate Crime Hoaxes?,1
The ACLU Rewrites History And Erases Women At The Same TimeÂ | Ep. 803,0
I Have Replaced God in Persona 5 Royal. The Full Shido Arc,0
Elon Musk GOES PRIVATE On Twitter & Admits MAJOR Problems At Twitter!,1
How to Integrate Your Shadow Self | Robert Greene & Jordan Peterson,1
Teen Vogueâ€™s â€œSex Magicâ€?!,1
Ungrateful Daughter Dances On Her Father's Grave,1
Twitter Facing 5 BILLION Dollar Fine Over APALLING Behavior & Elon Musk Pounces On it!,1
A Guide to SPAIN,0
Rings Of Power GIVES UP Fighting Bad Reviews After House Of The Dragon Destroys Amazon Again!,0
Pathfinder Planar Guide: The Demiplanes,0
Why Young Men Listen To Andrew TateÂ | Ep. 1090,0
Woke Megan Rapinoe LAUGHS After MISSING Wide Open Game Winning Shot In World Cup & Gets DESTROYED!,1
Woke Karen BERATES Father Of 0 Year Old Girl For Letting Her Wear Pink (Her Favorite Color),1
Feminist Face Off: Chelsea Handler vs Hannah Gadsby,1
The ENDLESS Anti-SJW Hate Campaign Against Brie Larson - Grifters Keep Creating Outrage for Content,1
ETERNALS is kind of a Mess | Explained,1
How Hideo Kojima and Metal Gear Solid Made Me a Leftist,1
How Boys Are Turned Into â€˜Girlsâ€™ | Ep. 690,1
Our Nation Has A God-Sized Hole At Its Center | Ep. 791,1
jesus monke,0
The MOST INCREDIBLE coaster in Planet Coaster,1
Rotten Tomatoes FINALLY Exposed & It Was The Woman King That Did It!!,1
"Why the Wall WILL Be Built | Heck Off, Commie!",1
Left Won't Stop Smearing Covington Catholic StudentsÂ | Ep. 181,0
We're Closer To A Major Airline Disaster Than You Think,1
The Rise and Fall of DeviantArt,0
"Now That Biden Thinks Heâ€™s Won, He Wants Us To â€˜Unite.â€™ Sorry, Iâ€™ll Pass.",0
"German Nationalists Office Bombed, MASSIVE Hack Exposes Politicians",1
YouTube Heroes in a Nutshell,0
"SWEDEN, FREE SPEECH, AND THE CULTURAL CIVIL WAR IN 0017",0
HAS #METOO GONE TOO FAR?,1
"$1 vs $100,000,000 House!",0
"Epstein Conspiracies Go Mainstream ""Clinton Body Count"" And ""Trump Body Count"" Are Trending",0
This Girl Faked a Miscarriage ( Emotional ),1
Elected Official Inducts Me Into The 'Vortex Of Evil'Â | Ep. 1118,0
Crazy Suicide Rates,1
When Did Universities Switch From A Conservative Perspective To A Leftist Perspective? #shorts,0
"POP SONG REVIEW: ""Bad Romance"" by Lady Gaga",0
Meet the Hillfolk of The Pendragon Cycle,0
An Asexual Stuffed Animal Enthusiast's Message To Me,0
The power of victimhoodÂ | Ep. 805,0
YTP: Doug Walker's Glowing Review of Shark Tale,0
"Woke Journo Taylor Lorenz Just Got BUSTED! Her Career Is Over! Massive Lawsuits, Corruption & More!",1
Meet The Most Evil Woman Alive,1
The DOWNFALL of Kyle Rittenhouse (He's BROKE),1
"If You Care For Your Kids, Get Them Off Social Media",1
"Discussion: Sam Harris, the IDW and the left",0
Did She Escaped The Mental Hospital?,1
What were the officers supposed to do?,1
The Problem With Marriage,0
What We Can All Learn From Islam & The Quran | Hamza Yusuf | EP 055,0
"Trump's Ukraine Transcript Reveals That The Democrats Made a HUGE Mistake, Are HELPING Trump",1
"Children's Hospital ""Gender Clinic"" Gives INSANE Advice",1
Tim Pool QUITTING Timcast IRL? A Message Of Support,1
Canadian Constitutional Crisis | Brian Peckford | EP 001,0
Terry McAuliffe Linked to Law Firm Fighting Student Who Said She Was Sexually Assaulted,0
WAKE UP! It's the Rich Vs the Rest of us - Vote for people who will fight for you (RANT),1
Has Destiny 0 lived up to the hype?,0
Leftist Journalist Claims to Have PTSD After Reading Mean Comments Online,0
Hasan and Vaush BANNED Off Twitch for saying â€˜CRACKERâ€™ - How Power Dynamics Impact â€˜OFFENSIVEâ€™ Words,1
Insane Parents Transition 4 Year Old! This Has To Stop!,1
"Skyrim, but if I look at ANY character I have to kill them",0
Why Are Conservatives Obsessed With Voter Fraud?,0
Dubbed Stock Footage | Episode 4,0
Daily Wire Releases Movie That Will Cause EPIC MELTDOWN From Woke Clowns! Starring Matt Walsh & More,1
Texit Will NEVER Get Passed #shorts,1
SECRET TRAVEL TIPS!,1
Impeachment BACKFIRE Gets WORSE As Trump now DEFEATS Every 0000 Democrat In Major Polling,1
The Future: Vision and Invitation | EP 339,0
"FEMINIST Taylor Swift plays VICTIM in ""The Man""",1
Celebrity HYPOCRITES Go Maskless At Superbowl!,1
Elon Musk Just FIRED The ENTIRE Twitter Engineering Team? Oops! The Media Got EPICLY Trolled!,1
"The Spoiled, Privileged Brats Who Wish They Were OppressedÂ | Ep. 803",0
"Pokimane & Asmongold RAGE Over Twitch Gambling After Streamer Steals $300,000 & xQc and Ludwig Pay",1
Jordan Peterson's Muslim Fans TURN ON HIM For Supporting Israel,1
The System Is Forcing Animal Testing #shorts,0
Lawyer Reacts to Alt-Right TikToks PART 3,0
An Obese Man Won A Woman's Beauty Pageant,1
Feminist INSTANTLY Abandons Beliefs After ONE DATE With Non Soy REAL MAN In Hilarious Backfire,1
AOC's SICKENING Manipulation: Her Capitol Take,1
I challenged a Youtuber to the most chaotic Zelda race ever,0
Message To Canadian Leaders: Seize The Day,0
Rich People Have An Advantage In Politics #shorts,0
Children Should WORK,1
We All Want to Be the Generation to End Something | @turningpointusa,0
Dual Releases - Scott The Woz,0
"Criminals Should Go To Prison, And Other Controversial Opinions | Ep. 1006",0
Infringed Promo - Guns As Entertainment,0
LYING About Being TRANS is R*pe?,1
Leftist Celebrity Seeks Nigerian Citizenship To Flee Donald Trump's Policies Amid Iran Tensions,0
Jordan Peterson Reveals PROOF That Chat GPT & Other AI Programs Are Doomed! Begs Elon Musk For Help,1
"Democrats LIED About The $0,000 Checks Going To Everyone, Use Marjorie Taylor Greene As Distraction",1
Reactionary Reading with Tim Pool,0
Matt Walsh QUITS Youtube & Reveals HUGE Money The Daily Wire Has To Give Up Over Dylan Mulvaney,1
WHEN IS VIOLENCE OK?,0
Can you beat two Mario games with ONE controller?,0
Conservatives Critiquing Taylor Swift Need To Think Twice,0
"Anti Biden Songs Let's Go Brandon Hit #1, #0, AND #3 On Itunes Top 10, Democrats OUTRAGED",1
D.C. Authorities REFUSE to Autopsy Recovered Bodies of These Aborted Babies,1
What If SHE Pulls You Over?,1
"TRAINWRECKORDS: MÃ¶tley CrÃ¼e's ""Generation Swine""",0
"Making Kamigawa's ""Useless"" Commander Work | Deck-Tech, Lore, & Orientalism",0
Economic Growth Will Someday End #shorts,0
She-Hulk Fans MELTDOWN Over TERRIBLE Finale! Disney Plus Already Teasing Season 0 For Garbage Show,1
Wario the Idea vs. Wario the Man (Character Analysis),0
Men and Divorce Court | Greg Ellis | EP 008,0
Heathers | Shine a Light Reprise | Animatic,0
"Straight People Blamed After Biggest Woke Disaster In Hollywood To Date! ""Bros"" Movie TANKS!",1
7 Things I Wish I Knew Before Starting Law School,1
"Mail In Voting BACKFIRES On Democrats, Thousands Of Ballots From Young And Minority Voters REJECTED",1
Marjorie Taylor Greene and The Conservative Cult of CrossFit,0
The Christmas Shoes: The Fever Dream of Capitalism | Big Joel,0
TikTok Mother Grooms Her Son Into Wearing A Dress,1
skibidi toilet 35,0
The Church Is Plagued By Cowardice | The Matt Walsh Show Ep. 69,0
Hello! quick DougDoug channel update,0
5 Missed Ways Putin Hinted at How America ACTUALLY Works,1
Spider-Man: Far From Home is Shockingly Spectacular,0
Rachel Zegler TORCHED For Saying HER Snow White A Girl Boss & Gets CANCELLED In China! Disney Panics,1
Drag Shows Are Now Banned In Tennessee?,1
Instant Regret For Woke Protestors At Burning Man Festival! This Will Make You So Happy To See!,1
Does the Neo-Nazi Brony Mass Shooter Prove the Brony Community have a Nazi Problem?,1
Justin Roiland Just Got FIRED From Rick and Morty After Woman Makes Claims! Solar Opposites Is Next!,1
The Actor,0
XtremeGamez are Back and STILL Lying to their Fans,1
"EVIL DOCTOR Mutilates ""TRANS"" Children (Sidhbh Gallagher)",1
Jordan Peterson - The Incel Intellectual | Witches and Enforced Monogamy,0
I used an A.I. to make videogame characters fight to the death,0
RIVERDALE Cast PROMOTE US Imperialism in Nicaragua!? How 'Liberal' Celebrities Help Neo-Colonialism,1
The Culture War #1 - Maybe I'm Meant To Be A Girl #shorts,0
The Leftist Plot To Destroy Childhood Innocence | Ep. 968,1
RED FLAGS in Relationships: Miley Cyrus & Liam Hemsworth Split,1
Leftist TikTok FAILS At Logic (What Even Is Capitalism lol),1
There's No One In Charge Of This Country #shorts,1
Democrats And Left PANICKING Over Alex Jones Banning Saying Lawsuit Proves HE ONLY GOT STRONGER,1
LIVE! America’s #1 Best-Selling Children’s Author Answers YOUR Questions,0
Mind-Blowing Advice,0
Elon Musk Has Most Hated Enemy Reveal Their Plans & It's Not Going Very Well,0
Disney Weighs in on the Falsely Labeled “Don’t Say Gay” Bill,0
I Played Club Penguin With 8000 Twitch Viewers,0
This Is The END For OnlyFans!,1
The Best Prequels,0
Unpacking the Shrek Series | Big Joel,0
MASK OFF: Conservatives Push EUGENICS to deal with Economic Fallout From COVID-19,1
Can We Just Not Care?,0
How to find True Love,1
DEBUNKING Incoherent Anti-Police Talking Points,0
INSANE: YouTube REMOVING Voter Fraud Claims They Disagree With,1
Sanders & O'Rourke's STINGY Charitable Giving?,0
Men don’t care how much a woman makes.,0
The World is Not Ending | Bjørn Lomborg | EP 315,0
Mother's Day Is Becoming Woke,1
This Dudes Just Racist AF,1
Pay Attention,0
The Anti-SJW 'GamerGater' YouTuber Making the Next Harry Potter Game - The Politics of Troy Leavitt,0
"""Off Our Necks"" Real Lawyer Explains the Case That Launched RBG's SCOTUS Career + GRWM",0
Media LIES about Israeli Restaurant Protest.,1
"US Deploys Marines To Australia Amid Fear Of WAR With China, Russian TV Discusses INVADING NATO",1
Can Vivek Actually Drain the Swamp?,0
Students Hilariously Fail To Boycott Matt Walsh's Event,1
Charlotte police chief response to police numbers,0
Matt Walsh Reacts To Cringey New Years Resolutions TikToks,0
"Bearing & Discuss Our Youtube Origins, Feminists, New Tech & More Spicy Topics",0
"Judge Determines Pablo Escobar’s Hippos are ""People""",0
Fat Acceptance Activist Says Dieting Is the Same as “Conversion Therapy”,1
Matt Walsh's Message To The Trans Student At His Speech,0
Moxie Speedpaint,0
This Is The Most DINK Couple I've Ever Seen...,1
Bud Light Just Got 3 HORRIBLE Pieces Of News As Dylan Mulvaney LAUGHS About Their Misfortune!,1
TERRORISM IN SWEDEN?,1
The Hallucinatory World Of The Critical Race Theorist | Ep. 741,0
Democrats FURIOUS After Trump Admin Stops Biden Transition Briefings Amin Report Of MAJOR Hack On US,1
Racial Bias Training At Starbucks Will Likely Backfire,0
Gen Z Chic Gets BRUTAL Reality Check After FAILING As Wannabe TikTok Star!,1
WTF Is She Even Saying?,1
NETFLIX IS MAKING IRL SQUID GAME! How Anti-SJWs and Corporations RUIN Anti-Capitalist Media,1
"ZELDA vs RED DEAD 2, but explained with food",0
American Taxes Explained,0
Highlights From Matt Walsh Testifying For Youth Gender Bill,0
"TOP 3 STORIES OF APRIL 30th - Trump's Nobel Peace Moment, Count Dankula, Conservative Youth",1
Call Of Duty Zombies is a Timeless Masterpiece,0
Grievous and Sid - Episode 1: I briefly talk about Arcane,0
Media Shocked To Discover That Children Need Fathers | Ep. 825,1
I Watched 45 Movies in 1 Week | 'Talk to Me' and the Best Movies of Sundance 2023 Explained,0
Every 2010s Disney Movie Ranked,0
The Curious Story of China's Indie Gaming Scene,0
"Rush Limbaugh Has Passed Away, Leftists Post Vile Attacks Against Him Gloating Over His Passing",0
Disney's Wokeness Faces Heightened Criticism,0
Game Of Money Promo - Economic Growth Will End,0
So I thought it would be a good idea...,1
Rise Of The Brave Tangled Dragons: The Strangest Fandom Of The 2010s,0
"Democrat Schiff's Corruption WORSE Than We Thought, Republican Vows Legal Action But WONT Play Dirty",1
"POKEMON SWORD & SHIELD, but explained with Hot Pockets",1
AOC COVERS For SKY HIGH Crime Rates,1
"GOP Governor Officially BANS ABORTION From Conception In Oklahoma, State Will Soon Make It A FELONY",1
"Pathfinder Planar Cosmology 101: Introduction, Overview and the Transitive Planes",0
First Viewing - The Little Panda Fighter,0
Elon Musk Reveals The US Military Used Twitter For Covert State-Run Propaganda Networks,0
What if the Roman Empire Never Fell? (Part 5),0
Man Made Horrors Beyond Our Comprehension #shorts,0
Trevor Noah Caught in Another Racism Scandal,1
"If You're Scared, Stay Home. I'll Be Out Here Living My Life | Ep. 781",0
Avengers Endgame - Super Spoiler Review,0
The Weirdest SNL Skit Ever,1
You Should Have Some Skin In The Game #shorts,0
Superbad - The Greatest Teen Comedy of All Time,0
The Most Barbaric Pro-Abortion Ad Of All Time | The Matt Walsh Show Ep. 141,1
"Democrats QUIT The Party in Droves, Voters FURIOUS Over Democrat Support For Riots Will Vote Trump",1
Ranking the First 5 3D Zeldas,0
What Is A Woman? SNEAK PEEK,1
The Fourth Republican Debate,0
ANT-MAN and the WASP Review - Does it Stack Up *Spoilers*,0
Meet The Most VILE Human Alive The Things This Hollywood Celebrity Did Are Beyond Demonic,1
Protagony Two: Abed,0
Elon Musk Stalker CONFESSES & He Is Totally Insane! Was Near Grimes House Too!,1
"Protesters were WRONG, Black Man Killed WAS Armed",1
Why ‘The Hobbit' is actually a Marxist tale of Class Struggle and Wealth Redistribution,0
Matt Walsh Reviews His FIRST Podcast Episode,0
Based Woman DESTROYS Woke Clowns,1
